Code	Title	Group
7531	7531 - Tailors, Dressmakers, Furriers and Hatters	753
7421	7421 - Electronics Mechanics and Servicers	742
7521	7521 - Wood Treaters	752
8152	8152 - Weaving and Knitting Machine Operators	815
8154	8154 - Bleaching, Dyeing and Fabric Cleaning Machine Operators	815
8121	8121 - Metal Processing Plant Operators	812
8114	8114 - Cement, Stone and Other Mineral Products Machine Operators	811
8156	8156 - Shoemaking and Related Machine Operators	815
8332	8332 - Heavy Truck and Lorry Drivers	833
8312	8312 - Railway Brake, Signal and Switch Operators	831
9312	9312 - Civil Engineering Labourers	931
110	110 - Commissioned Armed Forces Officers	110
1219	1219 - Business Services and Administration Managers Not Elsewhere Classified	121
1111	1111 - Legislators	111
1311	1311 - Agricultural and Forestry Production Managers	131
1223	1223 - Research and Development Managers	122
2166	2166 - Graphic and Multimedia Designers	216
2222	2222 - Midwifery Professionals	222
2165	2165 - Cartographers and Surveyors	216
2230	2230 - Traditional and Complementary Medicine Professionals	223
2265	2265 - Dieticians and Nutritionists	226
2512	2512 - Software Developers	251
2412	2412 - Financial and Investment Advisers	241
2631	2631 - Economists	263
3112	3112 - Civil Engineering Technicians	311
3113	3113 - Electrical Engineering Technicians	311
3122	3122 - Manufacturing Supervisors	312
3139	3139 - Process Control Technicians Not Elsewhere Classified	313
3230	3230 - Traditional and Complementary Medicine Associate Professionals	323
3212	3212 - Medical and Pathology Laboratory Technicians	321
3142	3142 - Agricultural Technicians	314
4224	4224 - Hotel Receptionists	422
4227	4227 - Survey and Market Research Interviewers	422
4416	4416 - Personnel Clerks	441
5142	5142 - Beauticians and Related Workers	514
5161	5161 - Astrologers, Fortune-tellers and Related Workers	516
4412	4412 - Mail Carriers and Sorting Clerks	441
6122	6122 - Poultry Producers	612
5312	5312 - Teachers' Aides	531
5413	5413 - Prison Guards	541
5249	5249 - Sales Workers Not Elsewhere Classified	524
6340	6340 - Subsistence Fishers, Hunters, Trappers and Gatherers	634
7111	7111 - House Builders	711
7319	7319 - Handicraft Workers Not Elsewhere Classified	731
8172	8172 - Wood Processing Plant Operators	817
8219	8219 - Assemblers Not Elsewhere Classified	821
8141	8141 - Rubber Products Machine Operators	814
8311	8311 - Locomotive Engine Drivers	831
210	210 - Non-commissioned Armed Forces Officers	210
2131	2131 - Biologists, Botanists, Zoologists and Related Professionals	213
2221	2221 - Nursing Professionals	222
2262	2262 - Pharmacists	226
1312	1312 - Aquaculture and Fisheries Production Managers	131
1412	1412 - Restaurant Managers	141
2264	2264 - Physiotherapists	226
2612	2612 - Judges	261
2634	2634 - Psychologists	263
2636	2636 - Religious Professionals	263
3155	3155 - Air Traffic Safety Electronics Technicians	315
3114	3114 - Electronics Engineering Technicians	311
3512	3512 - Information and Communications Technology User Support Technicians	351
3423	3423 - Fitness and Recreation Instructors and Programme Leaders	342
3324	3324 - Trade Brokers	332
5230	5230 - Cashiers and Ticket Clerks	523
5131	5131 - Waiters	513
5162	5162 - Companions and Valets	516
5321	5321 - Health Care Assistants	532
7132	7132 - Spray Painters and Varnishers	713
7542	7542 - Shotfirers and Blasters	754
7544	7544 - Fumigators and Other Pest and Weed Controllers	754
7549	7549 - Craft and Related Workers not Elsewhere Classified	754
7422	7422 - Information and Communications Technology Installers and Servicers	742
7523	7523 - Woodworking Machine Tool Setters and Operators	752
7133	7133 - Building Structure Cleaners	713
8342	8342 - Earthmoving and Related Plant Operators	834
8111	8111 - Miners and Quarriers	811
8157	8157 - Laundry Machine Operators	815
8331	8331 - Bus and Tram Drivers	833
1431	1431 - Sports, Recreation and Cultural Centre Managers	143
1411	1411 - Hotel Managers	141
2269	2269 - Health Professionals Not Elsewhere Classified	226
2342	2342 - Early Childhood Educators	234
2523	2523 - Computer Network Professionals	252
2164	2164 - Town and Traffic Planners	216
3121	3121 - Mining Supervisors	312
3123	3123 - Construction Supervisors	312
2655	2655 - Actors	265
2656	2656 - Announcers on Radio, Television and Other Media	265
3211	3211 - Medical Imaging and Therapeutic Equipment Technicians	321
3133	3133 - Chemical Processing Plant Controllers	313
3257	3257 - Environmental and Occupational Health Inspectors and Associates	325
3411	3411 - Legal and Related Associate Professionals	341
3315	3315 - Valuers and Loss Assessors	331
3321	3321 - Insurance Representatives	332
3522	3522 - Telecommunications Engineering Technicians	352
3421	3421 - Athletes and Sports Players	342
3433	3433 - Gallery, Museum and Library Technicians	343
4214	4214 - Debt Collectors and Related Workers	421
4223	4223 - Telephone Switchboard Operators	422
5164	5164 - Pet Groomers and Animal Care Workers	516
4313	4313 - Payroll Clerks	431
6129	6129 - Animal Producers Not Elsewhere Classified	612
6221	6221 - Aquaculture Workers	622
5414	5414 - Security Guards	541
5212	5212 - Street Food Salespersons	521
7313	7313 - Jewellery and Precious Metal Workers	731
7125	7125 - Glaziers	712
8211	8211 - Mechanical Machinery Assemblers	821
7317	7317 - Handicraft Workers in Wood, Basketry and Related Materials	731
8212	8212 - Electrical and Electronic Equipment Assemblers	821
8183	8183 - Packing, Bottling and Labelling Machine Operators	818
9214	9214 - Garden and Horticultural Labourers	921
9331	9331 - Hand and Pedal Vehicle Drivers	933
8321	8321 - Motorcycle Drivers	832
9613	9613 - Sweepers and Related Labourers	961
9622	9622 - Odd Job Persons	962
1213	1213 - Policy and Planning Managers	121
1221	1221 - Sales and Marketing Managers	122
2113	2113 - Chemists	211
2211	2211 - Generalist Medical Practitioners	221
2143	2143 - Environmental Engineers	214
2320	2320 - Vocational Education Teachers	232
3252	3252 - Medical Records and Health Information Technicians	325
3254	3254 - Dispensing Opticians	325
2635	2635 - Social Work and Counselling Professionals	263
2424	2424 - Training and Staff Development Professionals	242
3354	3354 - Government Licensing Officials	335
3355	3355 - Police Inspectors and Detectives	335
3311	3311 - Securities and Finance Dealers and Brokers	331
3332	3332 - Conference and Event Planners	333
3258	3258 - Ambulance Workers	325
3514	3514 - Web Technicians	351
4312	4312 - Statistical, Finance and Insurance Clerks	431
4120	4120 - Secretaries (general)	412
5153	5153 - Building Caretakers	515
5243	5243 - Door-to-door Salespersons	524
4419	4419 - Clerical Support Workers Not Elsewhere Classified	441
6114	6114 - Mixed Crop Growers	611
7127	7127 - Air Conditioning and Refrigeration Mechanics	712
7126	7126 - Plumbers and Pipe Fitters	712
7213	7213 - Sheet Metal Workers	721
7211	7211 - Metal Moulders and Coremakers	721
7312	7312 - Musical Instrument Makers and Tuners	731
7322	7322 - Printers	732
7233	7233 - Agricultural and Industrial Machinery Mechanics and Repairers	723
7411	7411 - Building and Related Electricians	741
8122	8122 - Metal Finishing, Plating and Coating Machine Operators	812
7536	7536 - Shoemakers and Related Workers	753
8113	8113 - Well Drillers and Borers and Related Workers	811
7516	7516 - Tobacco Preparers and Tobacco Products Makers	751
9211	9211 - Crop Farm Labourers	921
9121	9121 - Hand Launderers and Pressers	912
2146	2146 - Mining Engineers, Metallurgists and Related Professionals	214
2151	2151 - Electrical Engineers	215
1324	1324 - Supply, Distribution and Related Managers	132
1321	1321 - Manufacturing Managers	132
1344	1344 - Social Welfare Managers	134
1420	1420 - Retail and Wholesale Trade Managers	142
2263	2263 - Environmental and Occupational Health and Hygiene Professionals	226
2351	2351 - Education Methods Specialists	235
2432	2432 - Public Relations Professionals	243
2434	2434 - Information and Communications Technology Sales Professionals	243
2642	2642 - Journalists	264
2354	2354 - Other Music Teachers	235
2511	2511 - Systems Analysts	251
2652	2652 - Musicians, Singers and Composers	265
2654	2654 - Film, Stage and Related Directors and Producers	265
3251	3251 - Dental Assistants and Therapists	325
3314	3314 - Statistical, Mathematical and Related Associate Professionals	331
3413	3413 - Religious Associate Professionals	341
3342	3342 - Legal Secretaries	334
3333	3333 - Employment agents and contractors	333
5132	5132 - Bartenders	513
4414	4414 - Scribes and Related Workers	441
5141	5141 - Hairdressers	514
5245	5245 - Service Station Attendants	524
5165	5165 - Driving Instructors	516
6130	6130 - Mixed Crop and Animal Producers	613
6210	6210 - Forestry and Related Workers	621
6111	6111 - Field Crop and Vegetable Growers	611
6121	6121 - Livestock and Dairy Producers	612
7112	7112 - Bricklayers and Related Workers	711
7115	7115 - Carpenters and Joiners	711
6330	6330 - Subsistence Mixed Crop and Livestock Farmers	633
7131	7131 - Painters and Related Workers	713
7318	7318 - Handicraft Workers in Textile, Leather and Related Materials	731
7522	7522 - Cabinet-makers and Related Workers	752
7222	7222 - Toolmakers and Related Workers	722
8143	8143 - Paper Products Machine Operators	814
9123	9123 - Window Cleaners	912
9411	9411 - Fast Food Preparers	941
9216	9216 - Fishery and Aquaculture Labourers	921
9520	9520 - Street Vendors (excluding Food)	952
1349	1349 - Professional Services Managers Not Elsewhere Classified	134
1322	1322 - Mining Managers	132
1113	1113 - Traditional Chiefs and Heads of Villages	111
2141	2141 - Industrial and Production Engineers	214
2112	2112 - Meteorologists	211
2522	2522 - Systems Aministrators	252
2529	2529 - Database and Network Professionals Not Elsewhere Classified	252
2423	2423 - Personnel and Careers Professionals	242
2267	2267 - Optometrists and Ophthalmic Opticians	226
2521	2521 - Database Designers and Administrators	252
3118	3118 - Draughtspersons	311
2621	2621 - Archivists and Curators	262
3152	3152 - Ships' Deck Officers and Pilots	315
3111	3111 - Chemical and Physical Science Technicians	311
3240	3240 - Veterinary Technicians and Assistants	324
3339	3339 - Business Services Agents Not Elsewhere Classified	333
3322	3322 - Commercial Sales Representatives	332
4131	4131 - Typists and Word Processing Operators	413
3352	3352 - Government Tax and Excise Officials	335
4110	4110 - General Office Clerks	411
4212	4212 - Bookmakers, Croupiers and Related Gaming Workers	421
4323	4323 - Transport Clerks	432
5221	5221 - Shopkeepers	522
6113	6113 - Gardeners, Horticultural and Nursery Growers	611
5322	5322 - Home-based Personal Care Workers	532
7124	7124 - Insulation Workers	712
7223	7223 - Metal Working Machine Tool Setters and  Operators	722
7232	7232 - Aircraft Engine Mechanics and Repairers	723
7314	7314 - Potters and Related Workers	731
7221	7221 - Blacksmiths, Hammersmiths and Forging Press Workers	722
8181	8181 - Glass and Ceramics Plant Operators	818
7534	7534 - Upholsterers and Related Workers	753
8159	8159 - Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified	815
8322	8322 - Car, Taxi and Van Drivers	832
9129	9129 - Other Cleaning Workers	912
1342	1342 - Health Service Managers	134
1343	1343 - Aged Care Service Managers	134
1330	1330 - Information and Communications Technology Service Managers	133
2212	2212 - Specialist Medical Practitioners	221
2133	2133 - Environmental Protection Professionals	213
2619	2619 - Legal Professionals Not Elsewhere Classified	261
2353	2353 - Other Language Teachers	235
3312	3312 - Credit and Loans Officers	331
3116	3116 - Chemical Engineering Technicians	311
4213	4213 - Pawnbrokers and Money-lenders	421
5244	5244 - Contact Centre Salespersons	524
5246	5246 - Food Service Counter Attendants	524
5112	5112 - Transport Conductors	511
5113	5113 - Travel Guides	511
5120	5120 - Cooks	512
7215	7215 - Riggers and Cable Splicers	721
6224	6224 - Hunters and Trappers	622
7512	7512 - Bakers, Pastry-cooks and Confectionery Makers	751
7413	7413 - Electrical Line Installers and Repairers	741
7514	7514 - Fruit, Vegetable and Related Preservers	751
8131	8131 - Chemical Products Plant and Machine Operators	813
8153	8153 - Sewing Machine Operators	815
8343	8343 - Crane, hoist and related plant operators	834
8344	8344 - Lifting Truck Operators	834
8341	8341 - Mobile Farm and Forestry Plant Operators	834
9213	9213 - Mixed Crop and Livestock Farm Labourers	921
9112	9112 - Cleaners and Helpers in Offices, Hotels and Other Establishments	911
9333	9333 - Freight Handlers	933
9334	9334 - Shelf Fillers	933
9624	9624 - Water and Firewood Collectors	962
9321	9321 - Hand Packers	932
310	310 - Armed Forces Occupations, Other Ranks	310
1120	1120 - Managing Directors and Chief Executives	112
1211	1211 - Finance Managers	121
1114	1114 - Senior Officials of Special-interest Organizations	111
2120	2120 - Mathematicians, Actuaries and Statisticians	212
2513	2513 - Web and Multimedia Developers	251
2261	2261 - Dentists	226
2162	2162 - Landscape Architects	216
3132	3132 - Incinerator and Water Treatment Plant Operators	313
3134	3134 - Petroleum and Natural Gas Refining Plant Operators	313
3151	3151 - Ships' Engineers	315
3115	3115 - Mechanical Engineering Technicians	311
2519	2519 - Software and Applications Developers and Analysts Not Elsewhere Classified	251
3214	3214 - Medical and Dental Prosthetic Technicians	321
3222	3222 - Midwifery Associate Professionals	322
3412	3412 - Social Work Associate Professionals	341
3431	3431 - Photographers	343
5111	5111 - Travel Attendants and Travel Stewards	511
3511	3511 - Information and Communications Technology Operations Technicians	351
4413	4413 - Coding, Proofreading and Related Clerks	441
5329	5329 - Personal Care Workers in Health Services Not Elsewhere Classified	532
5151	5151 - Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments	515
5163	5163 - Undertakers and Embalmers	516
5412	5412 - Police Officers	541
7224	7224 - Metal Polishers, Wheel Grinders and Tool Sharpeners	722
7212	7212 - Welders and Flame Cutters	721
7535	7535 - Pelt Dressers, Tanners and Fellmongers	753
8160	8160 - Food and Related Products Machine Operators	816
8171	8171 - Pulp and Papermaking Plant Operators	817
8182	8182 - Steam Engine and Boiler Operators	818
8189	8189 - Stationary Plant and Machine Operators Not Elsewhere Classified	818
8350	8350 - Ships' Deck Crews and Related Workers	835
9313	9313 - Building Construction Labourers	931
9111	9111 - Domestic Cleaners and Helpers	911
9332	9332 - Drivers of Animal-drawn Vehicles and Machinery	933
9412	9412 - Kitchen Helpers	941
